
Brian,Husky,5,https://pisicutesicaini.ro/wp-content/uploads/2019/07/258861-1600x1067-dog-in-water1.jpg,
Jake,The_Dog,60,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5y_axiq6YbPB7z1RSFWOr6cCGixDTWxFVQw&usqp=CAU,
Georgy,Sheperd,3,https://dogtime.com/assets/uploads/gallery/german-shepherd-dog-breed-pictures/standing-7.jpg,
Jane,bichon maltez,7,https://rasedecaini.ro/wp-content/uploads/2019/05/rasa-Bichon-Fris%C3%A9-730x438.jpg,
Bella,bichon maltez,6,https://rasedecaini.ro/wp-content/uploads/2019/05/rasa-bichon-maltez-730x438.jpg,
Bobita,techel,7,https://www.google.com/search?q=techel&tbm=isch&ved=2ahUKEwiQy8iTp9jvAhVS1uAKHQdwAIMQ2-cCegQIABAA&oq=techel&gs_lcp=CgNpbWcQAzICCAAyAggAMgIIADICCAAyAggAMgIIADICCAAyAggAMgIIADIGCAAQBRAeOgQIIxAnUPV1WMt-YKmAAWgAcAB4AIABhQGIAfIEkgEDMy4zmAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=NEBjYJDhItKsgweH4IGYCA&bih=686&biw=1396&rlz=1C1GCEA_enRO877RO877&safe=active#imgrc=VmZXszLUiWW7ZM,
Max,bulldog,9,https://pixabay.com/ro/photos/englez%C4%83-buldog-buldog-c%C3%A2ine-5572857/,
Toby,bichon maltez,7,https://rasedecaini.ro/wp-content/uploads/2019/05/rasa-bichon-maltez-730x438.jpg,
Axy,cocker spaniol,5,https://rasedecaini.ro/wp-content/uploads/2019/05/rasa-Cocker-Spaniel.jpg,
Rex,bulldog,11,https://www.dogster.com/wp-content/uploads/2019/04/vcsPRAsset_3423747_71615_f468f337-a4b9-44aa-a182-18c0ecfabb3e_0-768x511.jpg,
Brian,white,12,https://pisicutesicaini.ro/wp-content/uploads/2019/07/258861-1600x1067-dog-in-water1.jpg,
